Feature,Importance,Label
v81045a,0.023453379845455122,Average expenditure on health for the whole HH in ref. perio
v42040a,0.017298274528591333,Amount of fertilizer used: mineral fertilizer (in kg)
v42023,0.016172869079466256,Expenditures: mineral fertilizer (THB/1000 VND)
v42042f,0.014548242908226735,Labor: Family labor (Person hour) for applying pesticides
v81030a,0.013890009274050354,Average monthly expenditure on transport/com for the whole H
v31410,0.01386580010718129,Aspiration of annual income level
v31414,0.013176830618259729,Aspiration of social status level
v31412,0.012977042630546023,Aspiration of asset level
v42041f,0.012872316147726532,Family labor (Person hour) for fertilizing
v82001__1,0.012756714203346025,Food insecurity experience:… was there a time when you were 
v31328,0.012481993795222216,The respondent's willingness to wait
v81015a,0.01237519509127106,Average monthly expenditure on food for the whole household 
v31416,0.012196963097206389,Aspiration of education level
v31413,0.01145685496103228,Aspiration of asset level (wish to achieve)
v42025b,0.011035230686465659,Expenditures: insecticides &amp; snail killers (THB/1000 VND
v92004,0.01057338919017303,For how many years has this household been living in this dw
v42020,0.010464841758907188,Costs for seeds and seedlings (THB/1000 VND)
v42027,0.01045649328334758,Expenditures: machinery cost for harvesting (THB/1000 VND)
v31415,0.010188308393745672,Aspiration of social status level (wish to achieve)
v42018,0.009439946586257724,Variable machine cost for land preparation (THB/1000 VND)
v42029b,0.009266443608713745,Expenditures on fuel or energy use for irrigation (THB/1000 
v42038f,0.008642210878876982,Family labor (Person hor) for planting
v92030a,0.008417622961924987,Since when that your HH has access to the internet from this
v31418a,0.008389122863331978,Importance of annual income level
v42039f,0.00837203731569825,Family labor (Person hour) for hand weeding
v42037f,0.008363378234402813,Family labor (Person hour)  for land preparation
v42036,0.008345629672055354,Other expenditures (including processing) (THB/1000 VND)
v31417,0.008202982661084414,Aspiration of education level (wish to achieve)
v31411,0.008157245705165154,Aspiration of annual income level (wish to achieve)
v82001__3,0.008142947855477135,Food insecurity experience:… was there a time when you ate o
v42025a,0.007876546431644406,Expenditures: herbicides (THB/1000 VND)
v81039a,0.0077718810821960005,Average expenditure on education for the whole HH in ref. pe
v42043f,0.0076382192695059045,Labor: Family labor (Person hour) for harvesting
v31315,0.0076169646644297815,How much does your household income fluctuate?
v31324,0.00759742975752081,The respondent's willingness to take risk in general
v94003,0.0075739942391468505,Would you describe yourself as an impatient or a patient per
v31325,0.0074518470761468945,The invested amount from riskgame (THB/1000 VND)
v31418b,0.007185992957405678,Importance of asset level
v51002,0.006976388153095341,How many members of your household have worked as a wage-emp
v31418d,0.006794587923326865,Importance of education level
v32031__2,0.006613947202986828,In which way have these changes affected your non agricultur
v91012,0.0065352900343503655,The disparities in standard of living in this community
v91008__3,0.006484630247790256,The 3 most important reasons for why rich people have high i
v72202,0.006341364477198627,How many insurances does the HH have?
v31418c,0.006329210642685766,Importance of social status level
v94002c,0.006265379124341119,What a person achieves in life is above all a question of fa
v92030b,0.005930069281464322,"On average, how many hours does the HH head use the internet"
v92030,0.005784251923956003,What type of internet sources that your HH has?
v91009a__2,0.005766798516649548,The 3 most important reasons for why poor people have low in
v31102__1,0.005753125333675674,Type of event:Illness of household member
v71102a,0.005577840222276959,How many loans do you have that are still owed or that have 
v91008__2,0.00537096865145306,The 3 most important reasons for why rich people have high i
v32026__5,0.005322481311019056,What is the major change with the temperature?:More extreme 
v42017,0.005278248061256301,Machine used for land preparation
v71412__1,0.00520516655044193,What kinds of savings do you possess:Bank account(s)
v91009a__3,0.00514625019052598,The 3 most important reasons for why poor people have low in
v92021a,0.0051328833197072455,How often do you use the internet for contacting family memb
v94002a,0.005098340259383754,How my life goes depends on me.
